Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Acumulado,Promedio
"Bueno, Carlos",DEL,SLO,5400000,9,5,6,0,0,3,10,0,0,0,10,0,5,6,4,11,3,5,77,5.92
"Nagüel, Sergio",VOL,ARG,700000,0,0,0,0,0,0,5,0,0,0,4,0,13,10,6,5,4,9,56,7
"Araujo, Carlos",DEF,LAN,3000000,0,0,0,5,0,0,6,0,0,13,7,6,0,5,3,7,2,7,61,6.1
"Rodríguez, Juan P.",VOL,ALB,3900000,0,9,8,11,3,11,3,4,12,4,0,0,0,0,6,4,7,2,84,6
"Sigali, Leonardo",DEF,GOD,4600000,6,18,3,-1,0,5,5,4,6,0,0,6,5,5,6,5,6,3,82,5.13
"Silva, Santiago",DEL,BOC,11000000,0,0,0,6,5,3,4,14,5,6,6,9,0,0,0,0,4,0,62,6.2
"Iñíguez, Gaspar",VOL,ARG,900000,6,4,5,11,4,6,7,4,6,2,0,5,5,6,5,5,0,0,81,5.4
"Ferrari, Jonathan",DEF,ALB,2500000,0,0,0,0,0,0,0,0,7,5,6,3,7,0,8,4,15,0,55,6.88
"Soto, Carlos",DEF,ALB,2800000,5,7,8,8,5,3,0,0,7,6,4,6,6,7,1,0,5,5,83,5.53
"Quiroga, Facundo",DEF,ALB,3900000,0,0,5,0,5,4,7,2,0,0,5,3,8,8,8,0,0,5,60,5
"Bologna, Enrique",ARQ,UNI,5000000,9,9,5,3,10,2,3,0,0,0,4,9,0,2,9,0,8,8,81,5.79
"Sperduti, Mauricio",VOL,NOB,5300000,4,6,5,0,0,13,5,5,4,5,5,4,6,3,5,0,0,0,70,5.38
"Cvitanich, Darío",DEL,BOC,7900000,10,4,9,4,0,0,0,6,10,5,4,7,0,4,0,11,5,3,82,6.31
"Zapata, Duván",DEL,EST,1900000,0,0,0,0,0,0,0,0,0,0,8,5,0,6,10,15,4,6,54,7.71
"Grabinski, Cristian",DEF,SMA,3600000,9,4,8,6,3,4,3,6,4,3,5,8,6,0,0,0,7,5,81,5.4
"Caffa, Juan P.",VOL,ARS,3800000,5,14,5,4,5,5,5,5,5,5,6,5,3,6,0,4,0,0,82,5.47
"Mansanelli, César",VOL,BEL,4000000,5,8,0,0,0,0,6,4,5,5,6,5,4,3,5,5,6,0,67,5.15
"Pratto, Lucas",DEL,VEL,4000000,0,0,0,0,0,0,5,4,10,15,5,0,5,0,0,0,5,5,54,6.75
"Lucchetti, Cristian",ARQ,BAN,4200000,2,0,-1,5,2,3,8,5,7,3,5,2,2,3,2,5,6,1,60,3.33
"Pizarro, Guido",VOL,LAN,4500000,6,9,5,0,4,0,7,6,6,0,6,5,0,0,4,5,6,5,74,5.69
"Insúa, Federico",VOL,VEL,6000000,5,18,7,5,6,13,4,0,0,5,5,13,4,4,0,0,0,0,89,7.42
"Meza, Fernando",DEF,SLO,2900000,0,0,7,4,4,5,4,2,2,5,0,8,6,7,5,0,5,0,64,4.92
"Villar, Diego",VOL,GOD,5400000,6,4,4,5,2,5,5,9,0,4,5,3,2,0,5,6,3,4,72,4.5
"Leone, Ramiro",VOL,TIG,3900000,6,6,5,5,0,0,0,0,5,5,6,5,6,5,7,3,5,5,74,5.29
"Gómez, Jonatan",VOL,BAN,4000000,0,2,0,4,0,0,4,14,6,4,3,3,5,5,3,5,0,0,58,4.83
"López, Víctor",DEF,NOB,4800000,3,7,6,4,8,8,8,9,3,0,0,5,0,0,0,0,5,6,72,6
"Jara, Leonardo",VOL,EST,1300000,0,0,5,6,7,5,1,0,0,0,5,4,4,5,6,4,5,5,62,4.77
"Ibáñez, Matías",ARQ,OLI,2000000,4,5,2,3,7,2,5,0,3,3,5,1,3,6,4,2,4,6,65,3.61
"Tonso, Martín",VOL,NOB,2300000,0,0,5,0,12,0,0,0,5,6,5,13,0,0,5,0,0,5,56,7
"Godoy, Fernando",VOL,IND,2700000,5,5,0,0,5,5,5,5,5,3,5,0,4,3,0,0,5,6,61,4.69
"Velázquez, Maximiliano",DEF,LAN,3700000,0,7,1,0,5,5,0,4,3,7,5,0,0,3,0,7,5,7,59,4.92
"Sánchez, Nicolás",DEF,GOD,5600000,6,9,5,2,5,5,6,5,0,1,0,5,5,2,4,3,6,4,73,4.56
"Miguez, Pablo",VOL,UNI,2500000,5,5,5,3,4,5,5,5,3,5,3,0,2,0,4,5,5,4,68,4.25
"Gabbarini, Adrián",ARQ,IND,4100000,0,0,0,0,0,0,0,9,5,5,7,9,0,1,1,9,4,0,50,5
"Prósperi, Gonzalo",DEF,ARG,4200000,7,4,0,6,5,7,0,5,0,7,4,4,0,6,0,0,5,7,67,5.58
"Ledesma, Pablo",VOL,BOC,5000000,0,0,0,2,12,3,0,11,3,6,5,5,0,0,0,0,5,0,52,5.78
"Valeri, Diego",VOL,LAN,8000000,7,4,0,0,6,0,5,5,6,4,0,4,0,3,3,5,5,4,61,4.69
"Zbrun, Martín",DEF,ATR,3000000,8,5,5,3,0,4,5,3,5,5,5,0,5,4,6,3,4,0,70,4.67
"Alayes, Agustín",DEF,BAN,3000000,2,3,5,5,0,0,0,0,2,5,5,4,6,5,4,0,15,3,64,4.57
"Villafáñez, Lucas",VOL,IND,2500000,0,0,0,0,0,0,0,5,3,8,6,4,5,4,4,4,0,5,48,4.8
"Musto, Damián",VOL,OLI,2800000,4,4,0,5,3,5,6,4,5,4,3,3,6,0,0,5,4,0,61,4.07
"Braghieri, Diego",DEF,LAN,3000000,16,0,4,0,0,0,5,0,0,8,7,0,0,15,6,0,0,7,68,8.5
"Cerro, Francisco",VOL,VEL,3500000,4,7,7,4,7,7,4,0,5,6,0,7,0,0,0,0,9,3,70,5.83
"Milito, Gabriel",DEF,IND,5500000,4,5,4,2,2,8,0,6,0,4,6,8,2,0,4,0,0,8,63,4.85
"Palomino, José L.",DEF,SLO,2500000,0,5,5,4,5,5,5,5,5,7,5,0,0,5,0,0,0,5,61,5.08
"Dos Santos, Mauro",DEF,BAN,3000000,4,3,6,6,5,5,6,6,2,6,4,6,0,0,0,2,4,1,66,4.4
"Morales, Juan J.",DEL,ARG,3400000,5,4,0,0,7,4,0,0,0,0,0,5,4,8,4,0,10,5,56,5.6
"Fredes, Hernán",VOL,IND,3700000,0,5,3,2,6,5,5,7,6,0,0,0,0,0,0,6,6,6,57,5.18
"Sosa, Franco",DEF,BOC,3900000,0,4,5,7,4,0,0,8,0,3,0,8,0,7,7,5,5,0,63,5.25
"Pocrnjic, Luciano",ARQ,SMA,4000000,9,2,6,5,5,4,4,4,3,2,5,9,5,0,2,4,0,0,69,4.31
"Ramírez, Rubén",DEL,GOD,9800000,5,5,-1,0,2,0,9,3,0,2,3,0,0,0,8,4,15,1,56,4.67
"Verón, Juan S.",VOL,EST,12500000,4,0,6,0,0,0,0,4,0,0,0,0,0,7,11,6,7,12,57,7.13
"Paparatto, Norberto",DEF,TIG,2900000,7,6,0,0,0,0,0,0,4,4,7,3,8,5,5,3,0,7,59,5.36
"Cabral, Alejandro",VOL,VEL,3400000,6,6,0,0,0,0,0,13,5,5,5,6,3,0,0,0,5,4,58,5.8
"Fernández, Augusto",VOL,VEL,5600000,9,8,24,6,0,0,5,6,7,0,5,0,0,6,0,12,0,5,93,8.45
"Castillón, Facundo",DEL,GOD,2800000,10,0,5,5,5,11,7,6,0,0,0,5,4,0,3,4,0,0,65,5.91
"Brum, Roberto",VOL,BAN,3000000,3,0,0,5,6,2,4,12,6,5,5,5,0,0,0,0,0,0,53,4.82
"Rodríguez, Ribair",VOL,BEL,3300000,3,2,0,6,4,3,-1,0,0,5,3,5,5,5,3,4,3,6,56,3.73
"Domínguez, Juan",DEF,NOB,2900000,0,0,2,0,0,0,7,0,6,8,5,8,5,5,0,0,0,0,46,5.75
"Barrientos, Hugo",VOL,ALB,3200000,3,5,3,3,3,0,2,4,0,4,5,6,2,7,6,5,0,0,58,4.14
"Ledesma, Eduardo",VOL,LAN,3500000,5,5,6,3,3,4,0,2,5,5,4,6,5,5,0,0,5,0,63,4.5
"Cáceres, Marcos",DEF,RAC,4000000,5,6,5,4,0,0,0,0,7,1,7,4,8,4,4,7,2,0,64,4.92
"González, Federico",DEL,ATR,4300000,6,5,5,0,0,0,0,0,0,0,6,5,5,4,4,4,5,11,60,5.45
"González, Adrián",DEF,ARS,4700000,7,0,0,8,7,7,8,0,5,5,0,5,0,0,7,0,0,0,59,6.56
"Perez, Enzo",VOL,EST,8200000,0,0,5,7,5,3,0,2,5,4,5,1,5,4,6,4,0,0,56,4.31
"Bazán, Gonzalo",VOL,SLO,2800000,2,6,5,4,5,0,0,2,0,0,0,11,5,5,5,6,4,0,60,5
"Sánchez, Matías",VOL,EST,3000000,0,0,0,4,5,5,4,4,2,0,0,5,0,5,5,3,3,2,47,3.92
"Kalinski, Enzo",VOL,SLO,3700000,5,6,6,5,3,11,5,3,3,7,6,0,0,0,0,5,0,0,65,5
"Perea, Emanuel",VOL,ALB,2000000,0,0,0,0,0,4,0,4,5,5,10,0,0,0,4,0,5,5,42,5.25
"Benedetto, Darío",DEL,ARS,2100000,0,0,0,0,0,0,0,0,0,0,10,0,4,6,5,6,5,6,42,6
"Vallés, Gabriel",DEF,IND,2800000,0,0,0,0,0,0,6,7,0,0,0,7,7,3,5,0,0,7,42,6
"Torassa, Agustín",DEL,ALB,3000000,0,0,0,3,3,0,0,4,4,6,7,4,3,0,0,0,7,4,45,4.5
"Mancuello, Federico",VOL,BEL,3000000,0,0,0,0,0,0,0,0,6,4,5,0,4,5,6,2,6,4,42,4.67
"Chevantón, Javier",DEL,COL,4300000,3,0,0,0,4,0,11,9,13,5,0,0,0,0,0,0,0,0,45,7.5
"Oberman, Gustavo",DEL,ARG,3000000,5,1,0,0,6,3,0,4,3,2,5,4,6,0,0,0,4,4,47,3.92
"Cubero, Fabián",VOL,VEL,4200000,0,6,3,5,5,3,3,11,2,0,5,0,4,5,0,3,0,0,55,4.23
"Silvera, Andrés",DEL,BEL,4900000,5,5,5,10,4,0,0,4,0,0,6,2,4,0,13,4,4,0,66,5.08
"Ferreyra, Facundo",DEL,BAN,5200000,4,3,0,5,5,3,0,0,0,5,2,3,5,9,4,-1,3,3,53,3.79
"Casais, Eduardo",DEF,OLI,2800000,5,4,5,2,5,2,5,4,4,4,0,0,0,5,2,0,5,4,56,4
"Curbelo, Jorge",DEF,GOD,3600000,7,8,1,0,5,2,0,3,7,0,8,0,4,3,6,2,0,0,56,4.67
"Galeano, Leonel",DEF,IND,3800000,0,0,0,4,0,8,4,0,5,4,8,0,1,4,0,4,2,0,44,4.4
"Magnin, Pablo",DEL,UNI,1200000,0,0,4,0,8,10,0,0,6,0,5,5,0,5,0,0,0,0,43,6.14
"Mas, Emmanuel",DEF,SMA,3200000,6,3,0,6,6,4,0,5,4,0,4,8,4,0,-1,0,0,5,54,4.5
"Bianchi Arce, Nicolás",DEF,SLO,3700000,-1,0,0,0,0,0,4,0,5,0,2,0,6,2,4,4,4,8,38,3.8
"Pérez, Marco",DEL,BEL,4500000,0,0,6,5,3,5,0,0,6,0,3,4,0,0,4,4,5,4,49,4.45
"García, DELmar",DEF,GOD,3000000,5,9,3,6,4,0,5,5,3,4,8,2,0,0,0,0,3,3,60,4.62
"Torres, Diego",DEL,ARS,3200000,0,0,0,4,0,0,0,10,5,0,5,6,6,0,5,0,0,0,41,5.86
"Benítez, Leandro D.",VOL,EST,4500000,4,4,0,4,4,5,2,0,6,4,3,0,3,5,5,0,0,0,49,4.08
"González, Mariano",VOL,EST,6000000,4,4,0,5,0,5,9,4,5,5,4,0,0,0,0,5,0,0,50,5
"Cellay, Cristian",DEF,EST,4000000,5,10,0,9,4,2,6,0,4,6,4,3,3,0,0,0,4,0,60,5
"Caruso, Leandro",DEL,GOD,4000000,5,5,4,4,5,4,4,0,0,5,5,4,4,5,0,0,0,0,54,4.5
"Chávez, Cristian",VOL,BOC,4800000,0,0,0,4,6,6,0,8,0,0,0,0,4,0,5,5,0,2,40,5
"Peruzzi, Gino",DEF,VEL,600000,0,0,0,0,0,0,0,0,0,6,0,0,0,5,7,7,6,4,35,5.83
"Coronel, Maximiliano",DEF,ALB,1800000,6,7,0,8,0,0,7,3,5,3,0,7,0,0,0,5,6,-1,56,5.09
"Santander, Federico",DEL,RAC,2800000,0,0,2,0,5,5,3,4,4,0,5,3,0,0,0,6,0,0,37,4.11
"Aquino, Víctor",DEL,NOB,2900000,0,0,0,0,0,0,0,0,4,0,0,4,6,5,0,4,9,3,35,5
"Vangioni, Leonel",VOL,NOB,3500000,4,4,5,2,5,4,0,3,5,0,0,4,0,0,5,4,5,0,50,3.85
"Eluchans, Juan",VOL,BAN,3600000,4,4,0,4,0,4,0,5,5,3,0,0,0,4,4,4,1,5,47,3.92
"Ramírez, David",VOL,VEL,8000000,5,0,0,0,0,0,0,5,0,5,0,5,5,5,4,6,0,0,40,5
"Vidal, Patricio",DEL,IND,500000,0,0,0,5,10,6,4,0,0,0,0,0,0,0,0,5,5,4,39,5.57
"Guillermo Rojas, Julián",VOL,BAN,1100000,5,4,3,3,4,2,0,6,4,0,6,2,4,2,1,3,0,0,49,3.5
"Somoza, Leandro",VOL,BOC,4800000,5,5,4,3,0,7,4,6,0,5,0,0,0,0,0,7,2,3,51,4.64
"Ortíz, Guillermo",DEF,NOB,300000,0,0,0,0,0,0,0,0,0,8,5,2,0,5,4,4,5,0,33,4.71
"Barisone, Diego",DEF,UNI,800000,0,0,0,0,0,0,0,0,13,0,0,0,0,0,20,0,0,0,33,16.5
"Grana, Hernán",DEF,BEL,3000000,0,0,0,7,0,5,4,0,6,0,0,0,0,0,6,5,0,7,40,5.71
"Núñez, Maximiliano",VOL,SMA,3000000,0,0,0,0,0,0,0,0,0,0,0,12,7,0,5,6,3,0,33,6.6
"Montero, Fausto",VOL,UNI,3000000,-1,0,0,5,6,5,7,0,0,0,0,4,4,3,4,0,0,0,37,3.7
"Caruzzo, Matías",DEF,BOC,3900000,0,7,8,6,4,0,0,0,0,0,0,9,3,8,9,0,0,0,54,6.75
"Olmedo, Nicolás",VOL,GOD,4500000,0,6,5,0,0,0,0,0,1,0,0,5,5,5,0,6,7,4,44,4.89
"Garro, Juan",DEL,GOD,300000,0,0,0,0,0,0,0,0,11,5,6,5,0,5,0,0,0,0,32,6.4
"Villanueva, Cristian",DEF,OLI,2000000,5,7,0,0,0,0,0,0,2,5,5,4,4,0,0,3,4,5,44,4.4
"Cárdenas, Juan P.",DEF,UNI,3000000,4,7,5,4,7,4,2,0,2,0,3,7,3,4,0,0,0,0,52,4.33
"Urribarri, Bruno",DEF,COL,3300000,5,4,5,3,3,4,8,0,0,0,0,0,0,4,0,0,5,8,49,4.9
"López, Hernán R.",DEL,BAN,4200000,5,0,0,11,2,4,4,0,9,5,0,3,5,0,0,0,0,0,48,5.33
"Cavallaro, Juan I.",VOL,UNI,500000,0,0,0,0,0,0,0,0,6,15,5,0,0,0,5,0,0,0,31,7.75
"Carrasco, Javier",VOL,TIG,2200000,0,0,0,0,6,0,4,6,4,0,0,5,0,0,0,6,0,0,31,5.17
"Wagner, Martín",VOL,SMA,2500000,0,0,3,3,5,0,0,0,3,0,4,3,5,4,3,3,0,0,36,3.6
"Vella, Cristian",DEF,ALB,2800000,7,7,5,5,3,4,7,4,0,0,0,0,0,5,0,7,0,0,54,5.4
"Morel, Martín",VOL,ALB,4500000,0,0,0,0,0,0,4,4,0,0,0,0,5,13,0,4,0,0,30,5
"Hauche, Gabriel",DEL,RAC,6900000,5,6,5,5,6,10,3,0,2,2,0,4,0,3,0,0,0,0,51,4.64
"Gutiérrez, Teófilo",DEL,RAC,10500000,4,5,1,0,9,11,-1,5,4,2,0,0,0,0,0,0,0,0,40,4.44
"Berardo, Nicolás",DEF,ARG,2400000,0,0,0,0,0,0,14,5,-1,0,0,0,0,7,0,0,4,0,29,5.8
"Erbes, Cristian",VOL,BOC,2500000,0,0,0,0,6,0,0,0,5,0,5,6,0,7,0,0,0,0,29,5.8
"Almerares, Federico",DEL,BEL,2800000,0,0,0,0,5,4,4,0,0,0,0,0,4,4,0,0,0,8,29,4.83
"Laso, Maximiliano",VOL,OLI,3000000,4,0,0,5,0,0,0,0,4,0,4,0,12,4,0,5,0,0,38,5.43
"Navarro, Alvaro",DEL,GOD,3300000,0,0,0,8,0,4,0,0,4,5,0,0,4,4,0,0,10,-2,37,4.63
"Chávez, Christian",DEL,SLO,3500000,0,0,0,4,5,0,0,6,4,0,0,6,0,0,0,0,4,4,33,4.71
"Canteros, Héctor",VOL,VEL,4500000,0,0,0,0,0,0,0,5,6,5,5,0,0,3,5,0,0,0,29,4.83
"De Souza, Diego",VOL,BAN,2900000,4,0,5,5,5,2,3,4,0,0,0,0,4,0,0,0,0,10,42,4.67
"Bustamante, Marcelo",DEF,BAN,3000000,0,2,-1,0,4,0,0,5,4,6,0,0,4,5,0,0,0,0,29,3.63
"Limia, Alejandro",ARQ,UNI,3000000,0,0,0,0,0,0,0,5,5,8,0,0,0,0,0,10,0,0,28,7
"Poggi, Federico",VOL,SMA,4300000,6,4,12,5,6,5,7,0,0,0,0,5,0,0,0,0,0,5,55,6.11
"Rodríguez, Clemente",DEF,BOC,6300000,5,0,6,0,0,0,0,0,5,5,0,2,0,7,0,9,0,0,39,4.88
"Parnisari, Ezequiel",DEF,OLI,300000,0,0,0,0,0,0,0,0,0,0,2,2,5,7,0,6,3,2,27,3.86
"Quintana, Carlos",DEF,LAN,1900000,0,0,0,0,6,3,0,5,0,0,0,0,13,0,0,0,0,0,27,6.75
"Bustos, Maximiliano",VOL,SMA,2800000,6,5,0,0,0,0,0,4,4,6,1,0,5,0,0,0,3,4,38,4.22
"Díaz, Gastón",DEF,LAN,3300000,6,7,3,0,3,3,4,5,5,0,0,0,7,0,0,0,0,0,43,4.78
"Acevedo, Walter",VOL,BAN,3900000,0,0,4,0,0,3,2,0,5,2,0,0,0,0,0,0,11,4,31,4.43
"Carranza, César",DEL,LAN,4200000,0,0,8,0,4,4,0,5,0,0,0,0,10,0,4,0,0,0,35,5.83
"Blandi, Nicolás",DEL,BOC,4300000,5,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,5,32,8
"Camoranesi, Mauro",VOL,LAN,5800000,0,0,4,-2,0,0,6,0,0,7,0,0,0,5,4,5,0,0,29,4.14
"Melano, Lucas",DEL,BEL,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,17,26,8.67
"Toledo, Gustavo",DEF,BAN,2200000,0,0,0,0,0,0,0,0,0,0,8,4,5,5,3,0,0,0,25,5
"Cabrera, Gonzalo",VOL,GOD,2300000,0,5,2,4,4,0,0,5,5,3,0,0,4,0,0,4,0,0,36,4
"Díaz, Gastón",VOL,TIG,2400000,0,6,5,5,3,5,-1,0,0,5,5,0,0,5,0,3,0,0,41,4.1
"Vera, Renzo",DEF,UNI,2700000,0,0,0,0,0,0,0,0,5,7,0,0,1,0,0,0,5,7,25,5
"Basualdo, Germán",VOL,ARG,2900000,10,3,4,0,0,0,0,0,0,5,4,0,5,5,6,0,0,0,42,4.67
"Saavedra, Raúl",DEF,SMA,2900000,0,0,3,0,0,0,5,3,0,3,1,0,0,2,0,4,7,0,28,3.5
"Córdoba, Jorge",DEL,ARS,3000000,4,0,0,0,4,5,0,0,0,0,2,4,0,6,0,0,4,0,29,4.14
"Furch, Julio",DEL,OLI,3000000,0,0,0,4,4,4,5,0,3,0,0,5,4,0,0,0,0,0,29,4.14
"Voboril, Germán",DEF,SLO,3000000,3,0,0,0,5,5,5,4,0,6,0,0,0,0,0,0,0,0,28,4.67
"Juárez, Iván",VOL,ATR,3100000,5,5,5,4,2,0,0,0,0,5,5,0,0,5,5,0,0,3,44,4.4
"Barrales, Jerónimo",DEL,UNI,3300000,5,5,4,2,0,0,0,0,0,0,0,4,0,0,4,7,5,5,41,4.56
"Lembo, Alejandro",DEF,BEL,3600000,7,4,7,0,4,0,0,0,0,4,5,3,5,4,0,0,0,0,43,4.78
"Sosa, Diego",DEF,SMA,1300000,0,0,5,0,5,0,0,0,0,0,0,0,0,4,4,5,6,0,29,4.14
"Cuesta, Víctor",DEF,ARS,1600000,0,0,3,0,0,7,8,1,0,0,5,3,0,0,0,0,0,0,27,4.5
"Tobio, Fernando",DEF,VEL,3500000,5,0,0,0,0,0,0,0,5,5,0,6,0,8,0,0,0,0,29,5.8
"Casteglione, Carlos",DEF,TIG,3900000,0,3,0,6,0,0,2,0,0,0,7,4,8,0,0,0,3,0,33,4.71
"Argachá, Adrián",DEF,IND,2000000,0,0,0,0,0,0,0,0,3,6,3,0,1,0,3,0,2,5,23,3.29
"Dutari, Francisco",DEF,ATR,2800000,0,0,0,0,0,0,5,0,0,0,0,6,2,0,4,4,0,2,23,3.83
