Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Acumulado,Promedio
"Penco, Sebastián",DEL,SMA,4000000,10,5,4,5,0,0,0,0,0,0,0,0,0,0,0,24,6
"Bordagaray, Fabián",DEL,SLO,4200000,0,0,5,0,0,0,0,0,0,0,0,0,4,6,9,24,6
"Copete, Jonathan",DEL,VEL,4500000,0,6,6,7,5,0,0,0,0,0,0,0,0,0,0,24,6
"Fernández, Guillermo",VOL,BOC,1000000,0,0,0,0,0,0,0,0,0,0,5,0,6,5,7,23,5.75
"Ramírez, Juan E.",VOL,ARG,1600000,3,4,0,0,0,0,0,0,0,0,0,0,4,6,6,23,4.6
"Erbes, Cristian",VOL,BOC,2500000,0,0,0,7,0,0,0,0,0,0,0,0,6,5,5,23,5.75
"Gómez, Ricardo",VOL,COL,3000000,0,0,0,0,0,0,0,0,5,0,0,6,2,6,4,23,4.6
"Mercier, Juan",VOL,SLO,5500000,4,0,4,0,0,3,5,0,0,5,0,0,0,0,2,23,3.83
"Céliz, Milton",DEL,ARS,500000,0,0,0,0,0,0,0,0,0,3,6,4,5,4,0,22,4.4
"Auzqui, Carlos",DEL,EST,1000000,0,0,0,0,0,3,0,0,0,0,0,5,6,3,5,22,4.4
"Lugo, Maximiliano",DEF,UNI,1800000,0,0,0,4,4,0,0,6,0,0,0,5,3,0,0,22,4.4
"Ledesma, Eduardo",VOL,GOD,3500000,0,0,0,0,0,0,5,6,0,0,0,5,6,0,0,22,5.5
"Izquierdoz, Carlos",DEF,LAN,3700000,2,0,0,0,0,7,0,7,0,0,0,0,0,0,6,22,5.5
"Pereyra, César",DEL,BEL,4800000,0,0,0,0,0,0,0,5,4,0,0,9,-1,0,5,22,4.4
"Torrén, Miguel",DEF,ARG,3500000,0,3,0,0,0,0,0,0,0,8,6,4,0,0,0,21,5.25
"Villalva, Daniel",DEL,RIV,3600000,0,0,10,5,0,0,2,0,0,0,0,0,4,0,0,21,5.25
"Rivero, Diego",VOL,BOC,4600000,0,0,0,5,0,0,5,4,4,0,0,0,3,0,0,21,4.2
"Tuzzio, Eduardo",DEF,IND,5000000,5,9,3,3,1,0,0,0,0,0,0,0,0,0,0,21,4.2
"Espinoza, Gonzalo",VOL,ARS,2800000,0,0,0,0,5,0,0,5,4,0,0,0,6,0,0,20,5
"Montero, Fausto",VOL,UNI,3000000,3,5,2,0,0,0,0,0,0,4,4,0,0,0,2,20,3.33
"Casais, Eduardo",DEF,ARS,3200000,0,0,0,0,0,0,0,5,0,0,0,8,0,0,7,20,6.67
"Fissore, Matías",VOL,ATR,3500000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,20,5
"Telechea, Fernando",DEL,QUI,3500000,0,0,0,0,4,0,5,4,4,3,0,0,0,0,0,20,4
"Curbelo, Jorge",DEF,GOD,3600000,7,0,0,0,0,0,0,0,0,0,7,3,0,0,3,20,4
"Blandi, Nicolás",DEL,BOC,4300000,0,5,0,10,0,0,0,0,0,0,0,0,0,5,0,20,6.67
"Santana, Jonathan",VOL,IND,4700000,0,6,5,0,0,0,0,0,4,0,0,0,0,5,0,20,5
"Martínez, Diego",DEF,RIV,300000,0,0,0,0,0,0,0,5,0,0,0,0,4,5,5,19,4.75
"Fariña, Luis C.",VOL,RAC,2200000,0,0,0,6,0,0,0,0,0,0,0,0,0,6,7,19,6.33
"Vildozo, Angel",DEL,ALB,2800000,0,0,0,0,5,0,0,0,9,0,0,0,0,5,0,19,6.33
"Balbi, Luciano",DEF,LAN,3000000,0,0,0,0,0,0,0,0,0,7,5,7,0,0,0,19,6.33
"Oberman, Gustavo",DEL,ARG,3300000,2,3,0,0,5,0,0,0,0,0,4,0,0,5,0,19,3.8
"Fredes, Hernán",VOL,IND,3800000,5,0,0,0,4,6,4,0,0,0,0,0,0,0,0,19,4.75
"Bianchi, Bruno",DEF,UNI,1800000,0,0,0,0,0,5,0,0,0,0,0,-1,0,0,14,18,4.5
"Escobar, Matías",VOL,TIG,2700000,0,0,0,0,5,3,0,0,0,0,0,0,6,4,0,18,4.5
"Migliónico, Leonardo",DEF,RAC,3500000,0,0,0,4,0,0,0,8,0,0,0,0,6,0,0,18,6
"Vega, Daniel",ARQ,RIV,4000000,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18,6
"Angeleri, Marcos",DEF,EST,4900000,3,4,7,4,0,0,0,0,0,0,0,0,0,0,0,18,4.5
"Sevillano, Diego",DEL,GOD,600000,0,0,0,9,0,4,0,0,0,0,0,4,0,0,0,17,5.67
"Silva, Agustín",ARQ,EST,1000000,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,17,8.5
"Perafán, Martín",ARQ,UNI,2700000,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,17,2.43
"Bernardello, Hernán",VOL,COL,4500000,0,0,0,0,0,0,0,0,6,5,2,0,0,0,4,17,4.25
"Piatti, Ignacio",VOL,SLO,6700000,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,17,8.5
"Moreno, Emanuel",VOL,UNI,1100000,0,0,0,0,0,0,0,0,0,3,0,0,6,4,3,16,4
"Rudler, Matías",VOL,SMA,2400000,0,6,5,5,0,0,0,0,0,0,0,0,0,0,0,16,5.33
"Luque, Carlos",DEL,COL,2500000,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,16,4
"Palomino, José L.",DEF,SLO,3000000,5,7,0,0,0,0,0,4,0,0,0,0,0,0,0,16,5.33
"Torassa, Agustín",DEL,TIG,3200000,5,2,5,0,0,0,0,0,0,0,0,0,0,4,0,16,4
"Gandín, Darío",DEL,ATR,5100000,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,16,5.33
"Sosa, Diego",DEF,SMA,1300000,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,15,5
"Mattos, Pablo",VOL,QUI,1500000,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,15,5
"Benítez, Martín",DEL,IND,2100000,5,0,5,0,0,0,0,0,0,0,0,0,4,1,0,15,3.75
"Casco, Milton",DEF,NOB,2800000,0,0,0,5,6,4,0,0,0,0,0,0,0,0,0,15,5
"Villafáñez, Lucas",VOL,IND,2900000,0,0,0,0,0,0,0,4,0,0,6,0,5,0,0,15,5
"Achucarro, Jorge",DEL,COL,3800000,0,0,0,0,0,0,0,0,9,4,0,0,0,0,2,15,5
"Pocrnjic, Luciano",ARQ,SMA,4000000,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,15,5
"Rodríguez R., Germán",VOL,ATR,600000,0,0,5,4,0,0,0,0,0,0,0,0,0,0,5,14,4.67
"D'Angelo, Sebastián",ARQ,BOC,700000,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,14,7
"Sills, Juan",DEF,VEL,2000000,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,14,4.67
"Fredrich, Elvio",VOL,ALB,2800000,0,0,0,0,0,4,0,5,0,0,0,0,0,0,5,14,4.67
"Canales, Gustavo",DEL,ARS,3000000,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,14,3.5
"Alvarez, Cristian O.",VOL,SMA,3200000,3,0,0,0,0,0,0,0,5,0,0,0,0,0,6,14,4.67
"Caruso, Leandro",DEL,ARG,3700000,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,14,3.5
"Rolle, Martín",VOL,SLO,5700000,0,0,4,0,2,0,0,4,0,0,0,0,4,0,0,14,3.5
"Romagnoli, Leandro",VOL,SLO,6500000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
"Pérez, Alejandro",DEF,UNI,1900000,0,0,0,2,1,0,0,0,0,0,0,0,3,3,4,13,2.6
"González, Diego",VOL,LAN,2100000,4,0,0,0,0,4,5,0,0,0,0,0,0,0,0,13,4.33
"Velázquez, Leandro",VOL,SMA,2800000,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,13,3.25
"Menossi, Lucas",VOL,TIG,500000,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,12,4
"Corti, Leonardo",ARQ,SMA,1300000,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,6
"Lema, Cristian",DEF,QUI,1900000,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,12,4
"Zbrun, Martín",DEF,ATR,2900000,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,12,4
"Díaz, Cristian",DEF,NOB,3000000,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,12,6
"Affranchino, Facundo",VOL,RIV,3000000,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,12,4
"Vázquez, Fabio",VOL,ARG,300000,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,11,3.67
"Flores, Franco",DEF,ARG,600000,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,11,5.5
"Depetris, Leonardo",DEL,ATR,2000000,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,11,5.5
"Orzán, Horacio",VOL,NOB,2100000,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,11,5.5
"Machin, Christian",DEF,ATR,2800000,0,6,0,0,0,0,0,0,0,0,2,3,0,0,0,11,3.67
"Sánchez, Matías",VOL,EST,2800000,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,11,3.67
"González, Silvio",DEL,TIG,4800000,0,0,0,0,0,0,0,0,0,0,2,0,5,0,4,11,3.67
"Montoya M., Santiago",VOL,ALB,300000,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,10,5
"Salas, Lucas",VOL,SMA,400000,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,5
"Martínez, Francisco",DEF,ALB,1000000,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,5
"Gaona Lugo, Orlando",DEL,BOC,1200000,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,5
"Canuto, Damián",VOL,SMA,1300000,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,5
"Suárez, Guillermo",DEL,SMA,1500000,4,0,0,4,0,0,2,0,0,0,0,0,0,0,0,10,3.33
"Muñoz, Fabián",DEL,NOB,1800000,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,5
"Stefanatto, Darío",VOL,ALB,2300000,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,10,5
"Cisterna, Diego",VOL,TIG,2500000,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,10,5
"Mateo, Diego",VOL,NOB,4000000,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,10,5
"Gentiletti, Santiago",DEF,SLO,4300000,0,0,0,0,0,0,4,0,-3,0,0,5,4,0,0,10,2.5
"Sacks, Joel",DEF,ATR,800000,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,9,4.5
"Rigamonti, César",ARQ,BEL,800000,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
"Cazares, Juan",DEL,RIV,1000000,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,9,4.5
"Fernández, Alexis",VOL,UNI,1800000,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,9,4.5
"Sarmiento, Brian",VOL,ARS,2000000,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,9,4.5
"Córdoba, Jorge",DEL,GOD,2800000,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,9,4.5
"Fernández, José C.",DEL,ARG,3500000,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.5
"González, Mariano",VOL,EST,5200000,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,9,4.5
"Rescaldani, Ezequiel",DEL,VEL,2600000,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,8,4
"Lollo, Luciano",DEF,BEL,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
"Tellechea, Emiliano",VOL,SLO,2900000,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,8,4
"Barrios, Pier M.",DEF,BEL,1100000,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,3.5
"Cáceres, Samuel",DEF,IND,1800000,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7
"Ortiz, Guillermo",DEF,NOB,2800000,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,7
"Canever, Franco",DEF,ARG,2900000,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3.5
"Alayes, Agustín",DEF,EST,3000000,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.5
"Torres, Diego",DEL,ARS,3300000,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,7,2.33
"Aued, Luciano",VOL,RAC,3300000,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,7,3.5
"Sarulyte, Matías",DEF,EST,4000000,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,7
"Evangelista, Fernando",VOL,BOC,500000,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,6,3
"Niz, Alexis",DEF,ATR,1000000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"Cuesta, Víctor",DEF,ARS,1700000,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,6,3
"Furch, Julio",DEL,SLO,3000000,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6
"Peñalba, Gabriel",VOL,ARG,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
"Gómez, Rodrigo",VOL,ARG,300000,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
"Zuqui, Fernando",VOL,GOD,400000,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
"Vides, Bruno",DEL,LAN,500000,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5
"Fraire, Diego",VOL,ATR,1300000,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5
"Garro, Juan",DEL,GOD,1600000,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Giménez, Martín",DEL,QUI,2000000,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Barraza, Julio",DEF,COL,2300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"Fosgt, Santiago",DEF,COL,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"San Román, José",DEF,GOD,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"Martín, Juan",DEL,BEL,2800000,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Faccioli, Emir",DEF,COL,2800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"Hoyos, Michael",VOL,EST,2800000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"De Olivera, Jorge",ARQ,RAC,2800000,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,2.5
"Ríos, Leonel",VOL,GOD,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"Godoy, Fernando",VOL,IND,3000000,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5
"Casteglione, Carlos",DEF,TIG,3800000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Benítez, Leandro",VOL,EST,4100000,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,5,2.5
"Urruti, Maximiliano",DEL,NOB,4500000,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5
"Galanternik, Diego",ARQ,RAC,400000,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4
"Janson, Lucas",DEL,TIG,400000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
"Saveljich, Esteban",DEF,RAC,1000000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Capellino, Nicolás",DEL,ATR,1300000,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
"Alario, Lucas",DEL,COL,1300000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4
"Martínez, Nicolás",DEF,TIG,1300000,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4
"Verón, Gonzalo",DEL,SLO,1500000,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4
"Márquez, Fernando",DEL,BEL,2000000,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
"Olivero, Emiliano",ARQ,ARS,2500000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
"Albil, Damián",ARQ,TIG,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"Abecasis, Luciano",DEF,RIV,2700000,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4
"Cooper, Armando",VOL,GOD,2800000,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
"Russo, Roberto",DEF,IND,3000000,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,2
"Vella, Luciano",DEF,RIV,3100000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Cellay, Christian",DEF,BOC,3600000,0,0,0,6,0,0,0,0,0,-2,0,0,0,0,0,4,2
"Pérez Guedes, Martín",VOL,RAC,4000000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4
"Trejo, Juan M.",DEF,IND,300000,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
"Careaga, Juan C.",VOL,ALB,400000,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
"Bittolo, Mariano",DEF,VEL,1300000,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3
"Erramuspe, Rodrigo",DEF,LAN,4300000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"Sánchez, Sergio",VOL,GOD,1500000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
"Torres, Leandro",VOL,NOB,1700000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2
"Gerlo, Danilo",DEF,ARS,3000000,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2
"Ledesma, Cristian",VOL,RIV,3300000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5
"Villalba, Lucas",DEF,IND,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alvarez, Augusto",VOL,SLO,2800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
